"done"					"έτοιμο"
Definitive    			καθοριστικός
Scrum		  			Scrum
Scrum Guide   			Οδηγός του Scrum
adaptation    			προσαρμογή
artifacts     			συστατικά στοιχεία
cross-functional 		δια-λειτουργική
daily         			καθημερινό
empiricism    			εμπειρισμός
events        			συμβάντα
framework     			πλαίσιο
framework     			εργασιακό πλαίσιο
goal          			στόχος
increment     			επαύξηση
inspection    			επιθεώρηση
lightweight   			ελαφρύ
master        			δάσκαλος
planning      			σχεδιασμός
process       			διαδικασία
product backlog item 	στοιχείο του product backlog 
product backlog 		product backlog
product owner 			ιδιοκτήτη του προϊόντος (Product Owner)
releasable 	  			παραδοτέο
retrospective 			ανασκόπηση
review        			αναθεώρηση
roles         			ρόλοι
rules         			κανόνες
scope 		  			έργο
self-organization 		αυτο-οργάνωση
sprint		  			sprint
time-boxed 				χρονο-περιορισμένο
transparency  			διαφάνεια
